РЕЕСТР КРУПНЕЙШИХ ПРЕДПРИЯТИЙ РОССИИ (>10 МЛРД РУБЛЕЙ) С РАСШИРЕННЫМ IT & HIGH-TECH БЛОКОМ
===================================================================================================================
Глубокая детализация: BigTech, Системная интеграция, Разработка ПО, Кибербезопасность,
Микроэлектроника, Дата-центры, EdTech, FinTech, Телеком, ТЭК, Металлургия и Тяжелая индустрия.
===================================================================================================================

00001. [BigTech / Интернет-холдинг] МКПАО «Яндекс» | Головная структура: Головная IT-корпорация | Регион/Охват: РФ / Москва
00046. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Тюменская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Тюменская область
00047. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Хабаровский край) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Хабаровский край
00048. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Приморский край) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Приморский край
00049. [BigTech / Соцсети / EdTech] МКПАО «ВК» (VK Group) | Головная структура: Головная IT-корпорация | Регион/Охват: РФ / Москва
00050. [IT / Интернет-сервисы / EdTech] ООО «ВКонтакте» (Крупнейшая социальная сеть СНГ) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00051. [IT / Интернет-сервисы / EdTech] ООО «Одноклассники» (Социальная сеть ОК) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00052. [IT / Интернет-сервисы / EdTech] ООО «Мэйл.Ру» (Почтовый сервис Mail.ru, Портал) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00053. [IT / Интернет-сервисы / EdTech] ООО «Дзен.Платформа» (Контентная платформа Дзен) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00054. [IT / Интернет-сервисы / EdTech] ООО «ВК Плэй» (VK Play - игровой маркетплейс и стриминг) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00055. [IT / Интернет-сервисы / EdTech] ООО «РуСтор» (RuStore - официальный российский магазин приложений) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00056. [IT / Интернет-сервисы / EdTech] ООО «ВК Цифровые Технологии» (VK Cloud, VK WorkSpace) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00057. [IT / Интернет-сервисы / EdTech] ООО «ВК Видео» (Видеохостинг и стриминговая платформа) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00058. [IT / Интернет-сервисы / EdTech] ООО «ВК Музыка» (Стриминг аудио) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00059. [IT / Интернет-сервисы / EdTech] ООО «ВК Реклама» (Платформа таргетированной рекламы) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00060. [IT / Интернет-сервисы / EdTech] ООО «Скилбокс» (Skillbox - онлайн-университет профессий) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00061. [IT / Интернет-сервисы / EdTech] ООО «ГикБрейнс» (GeekBrains - EdTech IT-платформа) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00062. [IT / Интернет-сервисы / EdTech] ООО «Скилфэктори» (SkillFactory - Data Science и IT-обучение) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00063. [IT / Интернет-сервисы / EdTech] ООО «Учи.ру» (Крупнейшая образовательная платформа для школьников) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00064. [IT / Интернет-сервисы / EdTech] ООО «Тетрика» (Онлайн-школа репетиторства) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00065. [IT / Интернет-сервисы / EdTech] ООО «Сферум» (Информационно-коммуникационная платформа образования) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00066. [IT / Интернет-сервисы / EdTech] ООО «Юла» (Классифайд-платформа объявлений) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00067. [IT / Интернет-сервисы / EdTech] ООО «ВК Голосовые технологии» (Голосовой ассистент Маруся, капсулы) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00068. [IT / Интернет-сервисы / EdTech] ООО «ВК Мессенджер» (Корпоративные и пользовательские коммуникации) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00069. [IT / Интернет-сервисы / EdTech] ООО «ВК Тех» (Корпоративное ПО, СУБД Tarantool) | Головная структура: МКПАО «ВК» (VK Group) | Регион/Охват: РФ
00070. [FinTech / BigTech / Экосистема] IT & Digital кластер ПАО Сбербанк | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00071. [IT / Cloud / E-commerce / Кибербезопасность] АО «СберТех» (Разработка ключевых банковских платформ, Platform V) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00072. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберДевайсы» (SberDevices / Sber Салют / Умный дом / ТВ) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00073. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Облачные технологии» (Cloud.ru / бывш. SberCloud) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00074. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Инстамарт Сервис» (Купер / бывш. СберМаркет - доставка) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00075. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберЕАптека» (E-Pharma e-commerce) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00076. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Инновационный сосудистый центр / СберЗдоровье» (Телемедицина) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00077. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберКорус» (Электронный документооборот, EDI, ЭДО) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00078. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберЛогистика» (Федеральный логистический оператор) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00079. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберАвто» (Маркетплейс покупки и продажи авто) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00080. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберАналитика» (Big Data аналитика для бизнеса) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00081. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберМаркетинг» (Маркетинговые технологии и агентство) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00082. [IT / Cloud / E-commerce / Кибербезопасность] ООО «ДубльГИС» (2ГИС - карты, городская навигация, геосервисы) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00083. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Бизнес-инкубатор / СберИнвестор» (FinTech трейдинг) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00084. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Домклик» (Сервис недвижимости, ипотеки и оценки) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00085. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Звук» (Hi-Fi стриминговый аудиосервис) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00086. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Окко» (Okko - мультимедийный онлайн-кинотеатр) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00087. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Бизон» (BI.ZONE - кибербезопасность, SOC, противодействие киберугрозам) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00088. [IT / Cloud / E-commerce / Кибербезопасность] ООО «Сегменто» (Segmento - Programmatic AdTech реклама) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00089. [IT / Cloud / E-commerce / Кибербезопасность] ООО «СберОбразование» (EdTech платформа и цифровой контент) | Головная структура: ПАО Сбербанк | Регион/Охват: РФ
00090. [Системная интеграция и IT-Консалтинг] ГК «Т1» (Холдинг Т1) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00091. [Системный интегратор / Cloud / Консалтинг] ООО «Т1 Интеграция» (Масштабные интеграционные проекты) | Головная структура: ГК «Т1» (Холдинг Т1) | Регион/Охват: РФ
00092. [Системный интегратор / Cloud / Консалтинг] ООО «Т1 Консалтинг» (Внедрение CRM, ERP, HR-систем) | Головная структура: ГК «Т1» (Холдинг Т1) | Регион/Охват: РФ
00093. [Системный интегратор / Cloud / Консалтинг] ООО «Т1 Cloud» (Корпоративные облачные сервисы) | Головная структура: ГК «Т1» (Холдинг Т1) | Регион/Охват: РФ
00094. [Системный интегратор / Cloud / Консалтинг] ООО «Иннотех» (Финтех-разработка, заказное банковское ПО) | Головная структура: ГК «Т1» (Холдинг Т1) | Регион/Охват: РФ
00095. [Системный интегратор / Cloud / Консалтинг] ООО «Дататех» (Big Data, Data Governance, аналитика данных) | Головная структура: ГК «Т1» (Холдинг Т1) | Регион/Охват: РФ
00096. [Системный интегратор / Cloud / Консалтинг] ООО «Сервионика» (Аутсорсинг IT-инфраструктуры, техобслуживание) | Головная структура: ГК «Т1» (Холдинг Т1) | Регион/Охват: РФ
00097. [Системная интеграция и IT-Консалтинг] Группа компаний «ЛАНИТ» | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00098. [Системный интегратор / Cloud / Консалтинг] АО «ЛАНИТ» (Головная интеграционная компания) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00099. [Системный интегратор / Cloud / Консалтинг] АО «Инсистемс» (Инженерная и IT-инфраструктура ЦОД) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00100. [Системный интегратор / Cloud / Консалтинг] ООО «ЛАНИТ-Терком» (Разработка заказного наукоемкого ПО) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00101. [Системный интегратор / Cloud / Консалтинг] ООО «Норбит» (Внедрение ERP, CRM, SRM систем) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00102. [Системный интегратор / Cloud / Консалтинг] ООО «Онланта» (Onlanta - облачные сервисы и IT-аутсорсинг) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00103. [Системный интегратор / Cloud / Консалтинг] ООО «Артезио» (Artezio - заказная разработка ПО) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00104. [Системный интегратор / Cloud / Консалтинг] АО «CompTek» (Дистрибуция сетевого и телеком-оборудования) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00105. [Системный интегратор / Cloud / Консалтинг] ООО «Треолан» (Treolan - один из крупнейших IT-дистрибьюторов РФ) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00106. [Системный интегратор / Cloud / Консалтинг] ООО «Inventive Retail Group» (re:Store, restore:, Samsung, Street Beat) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00107. [Системный интегратор / Cloud / Консалтинг] ООО «Клеверенс / Клеверикс» (ITSM консалтинг) | Головная структура: Группа компаний «ЛАНИТ» | Регион/Охват: РФ
00108. [Системная интеграция и IT-Консалтинг] Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00109. [Системный интегратор / Cloud / Консалтинг] ООО «КНС Групп» (YADRO - серверы, СХД, СВТ, бренд KVADRA) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00110. [Системный интегратор / Cloud / Консалтинг] ООО «Синтакор» (Syntacore - процессорные ядра на архитектуре RISC-V) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00111. [Системный интегратор / Cloud / Консалтинг] ООО «Бюро 1440» (Создание низкоорбитальной спутниковой группировки) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00112. [Системный интегратор / Cloud / Консалтинг] ООО «ЦИТ» (Цитадель - СОРМ и телеком-решения) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00113. [Системный интегратор / Cloud / Консалтинг] ООО «Малвин Системс» (Телекоммуникационные системы) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00114. [Системный интегратор / Cloud / Консалтинг] ООО «МФИ Софт» (Информационная безопасность и СОРМ) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00115. [Системный интегратор / Cloud / Консалтинг] ООО «Гарда Технологии» (СЗИ, DLP, защита баз данных DBF) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00116. [Системный интегратор / Cloud / Консалтинг] ООО «Криптонит» (Криптография, квантовые вычисления, ИИ лаборатория) | Головная структура: Группа компаний «ИКС Холдинг» (YADRO, ЦИТ) | Регион/Охват: РФ
00117. [Системная интеграция и IT-Консалтинг] Группа компаний «IBS» | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00118. [Системный интегратор / Cloud / Консалтинг] АО «ИБС ИТ Услуги» (IBS IT Services - системная интеграция) | Головная структура: Группа компаний «IBS» | Регион/Охват: РФ
00119. [Системный интегратор / Cloud / Консалтинг] ООО «ИБС Экспертиза» (Комплексный консалтинг и внедрение систем) | Головная структура: Группа компаний «IBS» | Регион/Охват: РФ
00120. [Системный интегратор / Cloud / Консалтинг] ООО «ИБС Инфинисофт» (Заказная разработка софта) | Головная структура: Группа компаний «IBS» | Регион/Охват: РФ
00121. [Системный интегратор / Cloud / Консалтинг] АО «БФТ-Холдинг» (Государственные информационные системы, ЕГИС) | Головная структура: Группа компаний «IBS» | Регион/Охват: РФ
00122. [Системный интегратор / Cloud / Консалтинг] ООО «Планета Аналитика» (BI платформы управления) | Головная структура: Группа компаний «IBS» | Регион/Охват: РФ
00123. [Системная интеграция и IT-Консалтинг] АО «КРОК Инкорпорейтед» (CROC) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00124. [Системный интегратор / Cloud / Консалтинг] АО «КРОК Инкорпорейтед» (Системная интеграция) | Головная структура: АО «КРОК Инкорпорейтед» (CROC) | Регион/Охват: РФ
00125. [Системный интегратор / Cloud / Консалтинг] ООО «КРОК Облачные Сервисы» (Enterprise Cloud, ЦОД КРОК) | Головная структура: АО «КРОК Инкорпорейтед» (CROC) | Регион/Охват: РФ
00126. [Системный интегратор / Cloud / Консалтинг] ООО «КРОК Системы Безопасности» (Комплексная безопасность) | Головная структура: АО «КРОК Инкорпорейтед» (CROC) | Регион/Охват: РФ
00127. [Системный интегратор / Cloud / Консалтинг] ООО «КРОК Диджитал Проджектс» (Цифровая трансформация) | Головная структура: АО «КРОК Инкорпорейтед» (CROC) | Регион/Охват: РФ
00128. [Системная интеграция и IT-Консалтинг] ПАО «Софтлайн» (Softline Group) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00129. [Системный интегратор / Cloud / Консалтинг] ПАО «Софтлайн» (Поставка ПО, лицензирование, интеграция) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00130. [Системный интегратор / Cloud / Консалтинг] ООО «Инфосекъюрити» (Infosecurity - кибербезопасность, SOC) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00131. [Системный интегратор / Cloud / Консалтинг] ООО «Девелоника» (Develonica - заказная разработка софта) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00132. [Системный интегратор / Cloud / Консалтинг] ООО «СЛ Софт» (SL Soft - собственное корпоративное ПО: Цитрос, Робин) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00133. [Системный интегратор / Cloud / Консалтинг] ООО «Белл Интегратор» (Bell Integrator - финтех-разработка) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00134. [Системный интегратор / Cloud / Консалтинг] ООО «Полимедиа» (Polymedia - мультимедиа и ситуационные центры) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00135. [Системный интегратор / Cloud / Консалтинг] АНО ДПО «Академия Софтлайн» (IT-обучение и сертификация) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00136. [Системный интегратор / Cloud / Консалтинг] ООО «Софтлайн Облако» (Softline MultiCloud) | Головная структура: ПАО «Софтлайн» (Softline Group) | Регион/Охват: РФ
00137. [Системная интеграция и IT-Консалтинг] ГК «Ай-Теко» (I-Teco) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00138. [Системный интегратор / Cloud / Консалтинг] АО «Ай-Теко» (Системная интеграция и аутсорсинг) | Головная структура: ГК «Ай-Теко» (I-Teco) | Регион/Охват: РФ
00139. [Системный интегратор / Cloud / Консалтинг] ООО «СмартТехнологии» (Финтех и заказная разработка) | Головная структура: ГК «Ай-Теко» (I-Teco) | Регион/Охват: РФ
00140. [Системный интегратор / Cloud / Консалтинг] ООО «Сервионика ИТ» (Сервисное обслуживание оборудования) | Головная структура: ГК «Ай-Теко» (I-Teco) | Регион/Охват: РФ
00141. [Системный интегратор / Cloud / Консалтинг] ЦОД «ТрастИнфо» (Один из крупнейших ЦОД Tier III) | Головная структура: ГК «Ай-Теко» (I-Teco) | Регион/Охват: РФ
00142. [Системная интеграция и IT-Консалтинг] ГК «Инфосистемы Джет» (Jet Infosystems) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00143. [Системный интегратор / Cloud / Консалтинг] АО «Инфосистемы Джет» (Системная интеграция и сети) | Головная структура: ГК «Инфосистемы Джет» (Jet Infosystems) | Регион/Охват: РФ
00144. [Системный интегратор / Cloud / Консалтинг] Jet Security & Jet CSIRT (Мониторинг и реагирование на инциденты ИБ) | Головная структура: ГК «Инфосистемы Джет» (Jet Infosystems) | Регион/Охват: РФ
00145. [Системный интегратор / Cloud / Консалтинг] Jet Network & Jet Cloud (Сетевая и облачная инфраструктура) | Головная структура: ГК «Инфосистемы Джет» (Jet Infosystems) | Регион/Охват: РФ
00146. [Системная интеграция и IT-Консалтинг] Sitronics Group (ПАО АФК «Система») | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00147. [Системный интегратор / Cloud / Консалтинг] АО «Ситроникс» (ИТ-интеграция, автоматизация регионов) | Головная структура: Sitronics Group (ПАО АФК «Система») | Регион/Охват: РФ
00148. [Системный интегратор / Cloud / Консалтинг] ООО «Ситроникс КТ» (Морские навигационные и береговые системы) | Головная структура: Sitronics Group (ПАО АФК «Система») | Регион/Охват: РФ
00149. [Системный интегратор / Cloud / Консалтинг] ООО «Ситроникс Спейс» (Спутникостроение, группировки дистанционного зондирования) | Головная структура: Sitronics Group (ПАО АФК «Система») | Регион/Охват: РФ
00150. [Системный интегратор / Cloud / Консалтинг] ООО «Ситроникс Электро» (Инфраструктура зарядных станций для электромобилей) | Головная структура: Sitronics Group (ПАО АФК «Система») | Регион/Охват: РФ
00151. [Системный интегратор / Cloud / Консалтинг] ООО «Каскад-Технологии» (Безопасный город, интеллектуальный транспорт) | Головная структура: Sitronics Group (ПАО АФК «Система») | Регион/Охват: РФ
00152. [Системная интеграция и IT-Консалтинг] ГК «Рубитех» (Rubytech) | Головная структура: IT-холдинг | Регион/Охват: РФ / Москва
00153. [Системный интегратор / Cloud / Консалтинг] ООО «Рубитех» (Системная интеграция для госсектора и банков) | Головная структура: ГК «Рубитех» (Rubytech) | Регион/Охват: РФ
00154. [Системный интегратор / Cloud / Консалтинг] ООО «Рубитех Диджитал» (Разработка высоконагруженных систем) | Головная структура: ГК «Рубитех» (Rubytech) | Регион/Охват: РФ
00155. [Разработка ПО и Enterprise решения] Фирма «1С» и Партнерская Сеть | Головная структура: IT-холдинг / Вендор ПО | Регион/Охват: РФ
